query_name,matched_name,matched_smiles,matched_inchikey,matched_formula,cosine_score,matched_peaks,precursor_mz,library_precursor_mz,precursor_ppm_diff,adduct,library_ccs,matched_ontology,matched_fragments,source_method,source_database,rank
Unknown (11.06_282.0871m/z),Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,KJONHKAYOJNZEC-UHFFFAOYSA-N,C15H11N3O3,0.5052,11,282.0871,282.0873,-0.71,[M+H]+,,,180.0564/180.0797(Δ0.0233Da); 181.0648/181.0822(Δ0.0174Da); 195.0809/195.0937(Δ0.0128Da); 207.0539/207.0912(Δ0.0373Da); 208.0504/208.0975(Δ0.0471Da); 236.0451/236.0947(Δ0.0496Da); 237.0543/237.0972(Δ0.0429Da); 251.0701/251.0794(Δ0.0093Da); 254.0566/254.0951(Δ0.0385Da); 269.0809/269.0871(Δ0.0062Da); 282.0896/282.0883(Δ0.0013Da),DreaMS,Drug,1
Unknown (11.06_282.0871m/z),nan,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,KJONHKAYOJNZEC-UHFFFAOYSA-N,C15H11N3O3,0.5051,11,282.0871,282.087,0.35,[M+H]+,,,180.0564/180.0797(Δ0.0233Da); 181.0648/181.0822(Δ0.0174Da); 195.0809/195.0937(Δ0.0128Da); 207.0539/207.0912(Δ0.0373Da); 208.0504/208.0975(Δ0.0471Da); 236.0451/236.0947(Δ0.0496Da); 237.0543/237.0972(Δ0.0429Da); 251.0701/251.0794(Δ0.0093Da); 254.0566/254.0951(Δ0.0385Da); 269.0809/269.0871(Δ0.0062Da); 282.0896/282.0883(Δ0.0013Da),DreaMS,Drug,2
Unknown (11.06_282.0871m/z),nan,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,KJONHKAYOJNZEC-UHFFFAOYSA-N,C15H11N3O3,0.5023,31,282.0871,282.087,0.35,[M+H]+,,,129.0331/129.0436(Δ0.0105Da); 151.0468/151.0501(Δ0.0033Da); 152.0621/152.0614(Δ0.0007Da); 153.0702/153.0701(Δ0.0001Da); 157.0272/157.0409(Δ0.0137Da); 165.0696/165.0697(Δ0.0001Da); 167.0358/167.0749(Δ0.0391Da); 180.0564/180.0812(Δ0.0248Da); 181.0648/181.0853(Δ0.0205Da); 184.079/184.0762(Δ0.0028Da); 194.0725/194.0926(Δ0.0201Da); 195.0809/195.0909(Δ0.0100Da); 198.0654/198.0818(Δ0.0164Da); 207.0539/207.0926(Δ0.0387Da); 208.0504/208.098(Δ0.0476Da); 209.0588/209.1012(Δ0.0424Da); 211.0759/211.0879(Δ0.0120Da); 223.0754/223.0866(Δ0.0112Da); 224.0507/224.0939(Δ0.0432Da); 225.0522/225.0905(Δ0.0383Da); 236.0451/236.0077(Δ0.0374Da); 237.0543/237.0983(Δ0.0440Da); 239.0715/239.0819(Δ0.0104Da); 251.0701/251.0818(Δ0.0117Da); 252.0471/252.0875(Δ0.0404Da); 253.0816/253.084(Δ0.0024Da); 254.0566/254.093(Δ0.0364Da); 269.0809/269.0876(Δ0.0067Da); 279.0662/279.0967(Δ0.0305Da); 281.0777/281.0917(Δ0.0140Da); 282.0896/282.0903(Δ0.0007Da),DreaMS,Drug,3
Unknown (11.07_267.0640m/z),nan,COc1ccc(C(=O)c2ccccc2O)c(O)c1,MEZZCSHVIGVWFI-UHFFFAOYSA-N,C14H12O4,0.5136,3,267.064,267.063,3.74,[M+Na]+,,,150.0317/150.054(Δ0.0223Da); 156.0554/156.033(Δ0.0224Da); 185.0899/185.0642(Δ0.0257Da),DreaMS,Drug,1
Unknown (11.07_279.0649m/z),Liquiritigenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,FURUXTVZLHCCNA-UHFFFAOYSA-N,C15H12O4,0.5385,12,279.0649,279.063,6.81,[M+Na]+,,,139.0553/139.054(Δ0.0013Da); 152.0629/152.062(Δ0.0009Da); 165.0706/165.07(Δ0.0006Da); 167.0362/167.049(Δ0.0128Da); 193.0636/193.049(Δ0.0146Da); 195.0807/195.08(Δ0.0007Da); 208.0519/208.052(Δ0.0001Da); 235.0399/235.075(Δ0.0351Da); 236.047/236.046(Δ0.0010Da); 251.0704/251.07(Δ0.0004Da); 264.0414/264.041(Δ0.0004Da); 279.0659/279.065(Δ0.0009Da),DreaMS,Drug,1
Unknown (11.09_255.0650m/z),nan,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,C15H10O4,0.539,4,255.065,255.065,0.0,[M+H]+,,,125.0253/125.0218(Δ0.0035Da); 129.0344/129.0314(Δ0.0030Da); 139.0563/139.0527(Δ0.0036Da); 153.0702/153.0671(Δ0.0031Da),DreaMS,Drug,1
Unknown (11.09_255.0650m/z),Chrysin,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,C15H10O4,0.5151,10,255.065,255.065185,-0.73,[M+H]+,,,91.0526/91.0539(Δ0.0013Da); 95.0133/95.0489(Δ0.0356Da); 106.039/106.0647(Δ0.0257Da); 125.0253/125.0229(Δ0.0024Da); 129.0344/129.0333(Δ0.0011Da); 139.0563/139.054(Δ0.0023Da); 163.0462/163.0539(Δ0.0077Da); 165.0706/165.0695(Δ0.0011Da); 178.0777/178.077(Δ0.0007Da); 237.0543/237.0542(Δ0.0001Da),DreaMS,Drug,2
Unknown (11.09_255.0650m/z),Chrysin,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,C15H10O4,0.5137,10,255.065,255.065185,-0.73,[M+H]+,,,91.0526/91.0539(Δ0.0013Da); 95.0133/95.0489(Δ0.0356Da); 106.039/106.0647(Δ0.0257Da); 125.0253/125.0229(Δ0.0024Da); 129.0344/129.0333(Δ0.0011Da); 139.0563/139.054(Δ0.0023Da); 163.0462/163.0539(Δ0.0077Da); 165.0706/165.0695(Δ0.0011Da); 178.0777/178.077(Δ0.0007Da); 237.0543/237.0542(Δ0.0001Da),DreaMS,Drug,3
Unknown (11.09_269.0801m/z),Formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.5718,8,269.0801,269.0808353,-2.73,[M+H]+,,,137.0236/137.0233(Δ0.0003Da); 169.0644/169.0657(Δ0.0013Da); 226.0618/226.0596(Δ0.0022Da); 237.0543/237.0537(Δ0.0006Da); 253.0497/253.0492(Δ0.0005Da); 254.0577/254.058(Δ0.0003Da); 255.0662/255.0611(Δ0.0051Da); 269.0814/269.0808(Δ0.0006Da),DreaMS,Drug,1
Unknown (11.09_269.0801m/z),Formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.5303,10,269.0801,269.0808,-2.6,[M+H]+,,,105.0344/105.0697(Δ0.0353Da); 108.0207/108.0209(Δ0.0002Da); 137.0236/137.0233(Δ0.0003Da); 153.0702/153.0699(Δ0.0003Da); 169.0644/169.0648(Δ0.0004Da); 226.0618/226.0624(Δ0.0006Da); 237.0543/237.0547(Δ0.0004Da); 253.0497/253.0498(Δ0.0001Da); 254.0577/254.0576(Δ0.0001Da); 269.0814/269.0813(Δ0.0001Da),DreaMS,Drug,2
