query_name,matched_name,matched_smiles,matched_inchikey,matched_formula,cosine_score,matched_peaks,matched_fragments,precursor_mz,library_precursor_mz,precursor_ppm_diff,adduct,matched_ontology,isotope_score,source_method,source_database,rank
Unknown (10.16_282.0883n),nan,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,XGOYIMQSIKSOBS-UHFFFAOYSA-N,C17H14O4,0.7821,2,238.0599/238.0988(Δ0.0389Da); 283.0978/283.0963(Δ0.0015Da),283.0956,283.096,-1.41,[M+H]+,,,matchMS,Drug,1
Unknown (10.16_282.0883n),nan,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,XGOYIMQSIKSOBS-UHFFFAOYSA-N,C17H14O4,0.7821,2,238.0599/238.0988(Δ0.0389Da); 283.0978/283.0963(Δ0.0015Da),283.0956,283.096,-1.41,[M+H]+,,,matchMS,Drug,2
Unknown (11.67_344.0909n),nan,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.7554,3,315.0484/315.0501(Δ0.0017Da); 330.0725/330.0733(Δ0.0008Da); 345.0967/345.0968(Δ0.0001Da),345.0982,345.097,3.48,[M+H]+,,,matchMS,Drug,1
Unknown (11.67_344.0909n),Eupatilin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.7554,3,315.0484/315.0502(Δ0.0018Da); 330.0725/330.0733(Δ0.0008Da); 345.0967/345.0968(Δ0.0001Da),345.0982,345.09688,3.82,[M+H]+,,,matchMS,Drug,2
Unknown (11.67_344.0909n),nan,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.7495,3,315.0484/315.0502(Δ0.0018Da); 330.0725/330.0733(Δ0.0008Da); 345.0967/345.0968(Δ0.0001Da),345.0982,345.097,3.48,[M+H]+,,,matchMS,Drug,3
Unknown (11.67_344.0909n),Eupatilin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.7495,3,315.0484/315.0502(Δ0.0018Da); 330.0725/330.0733(Δ0.0008Da); 345.0967/345.0968(Δ0.0001Da),345.0982,345.09688,3.82,[M+H]+,,,matchMS,Drug,4
Unknown (11.67_344.0909n),Eupatilin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.7472,3,315.0484/315.0504(Δ0.0020Da); 330.0725/330.0732(Δ0.0007Da); 345.0967/345.0965(Δ0.0002Da),345.0982,345.09688,3.82,[M+H]+,,,matchMS,Drug,5
Unknown (11.70_369.1317m/z),nan,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,0.9131,8,89.0374/89.0383(Δ0.0009Da); 117.031/117.0331(Δ0.0021Da); 145.0295/145.0281(Δ0.0014Da); 149.0576/149.0595(Δ0.0019Da); 161.0596/161.0594(Δ0.0002Da); 175.0759/175.0751(Δ0.0008Da); 177.0564/177.0544(Δ0.0020Da); 253.086/253.085(Δ0.0010Da),369.1317,369.134,-6.23,[M+H]+,,,matchMS,Drug,1
Unknown (11.70_369.1317m/z),nan,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,0.9085,8,89.0374/89.0385(Δ0.0011Da); 117.031/117.0333(Δ0.0023Da); 145.0295/145.0283(Δ0.0012Da); 149.0576/149.0596(Δ0.0020Da); 161.0596/161.0597(Δ0.0001Da); 175.0759/175.0754(Δ0.0005Da); 177.0564/177.0546(Δ0.0018Da); 253.086/253.0873(Δ0.0013Da),369.1317,369.134,-6.23,[M+H]+,,,matchMS,Drug,2
Unknown (11.70_369.1317m/z),nan,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,0.9074,10,89.0374/89.0382(Δ0.0008Da); 117.031/117.0332(Δ0.0022Da); 145.0295/145.0282(Δ0.0013Da); 149.0576/149.0595(Δ0.0019Da); 161.0596/161.0597(Δ0.0001Da); 175.0759/175.0754(Δ0.0005Da); 177.0564/177.0546(Δ0.0018Da); 178.0569/178.0592(Δ0.0023Da); 253.086/253.0861(Δ0.0001Da); 369.1276/369.1344(Δ0.0068Da),369.1317,369.134,-6.23,[M+H]+,,,matchMS,Drug,3
