identifier	mzs	intensities	smiles	formula	adduct	collision_energy	parent_mass
1	411.01088,429.02145	24.07,100.0	O=S(O)c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2	C19H9F5O4S	[M+H]+	10	428.334
2	352.14444,397.20229	17.73,100.0	CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1	C25H24N4O	[M+H]+	10	396.494
3	165.0214,195.03197,337.01823,419.97451,489.03236	14.66,23.96,20.94,20.22,100.0	O=C(N[C@@H](CO)c1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)N2CC=CC2)c(Br)c1	C21H18BrClN4O3	[M+H]+	10	489.757
4	258.10372,452.03781	24.82,100.0	O=C(Cn1cc(I)cn1)N1CCCc2c1cnn2-c1ccc(F)cc1	C17H15FIN5O	[M+H]+	10	451.243
5	91.05423,149.05971,193.0527,235.06327,341.10513	26.43,18.61,50.69,19.09,100.0	Cc1ccc(-c2ccnc(Cl)c2)n1CC(=O)OCc1ccccc1	C19H17ClN2O2	[M+H]+	10	340.81
6	239.08333,265.0626,269.0939,402.1386,406.09713,416.11786,418.13351,442.13351,448.14408,460.14408,464.17538,474.15973,492.17029	2.46,1.99,2.53,2.09,3.67,3.86,9.29,2.8,3.52,23.0,16.46,12.4,100.0	CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)OC)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	C26H31Cl2NO4	[M+H]+	10	492.443
7	86.9996,100.07569,114.09134,116.10699,124.07569,128.10699,170.0731,202.09932	38.27,4.48,10.43,16.5,4.9,15.6,5.09,100.0	CC[C@@H]1COCCN1CC#CCCl	C10H16ClNO	[M+H]+	10	201.697
8	182.944,284.0393	45.64,100.0	CC(=NNC(=O)c1ccc(Br)cc1)N(C)C	C11H14BrN3O	[M+H]+	10	284.157
9	171.08765,238.09347	38.14,100.0	Cn1c(N)c(NC(=O)CC#N)c(=O)n(C)c1=O	C9H11N5O3	[M+H]+	10	237.219
10	194.02703,212.03759	2.54,100.0	O=C(O)c1ccc(N2CCCC2=O)s1	C9H9NO3S	[M+H]+	10	211.242
11	411.01088,429.02145	6.58,100.0	O=S(O)c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2	C19H9F5O4S	[M+H]+	20	428.334
12	340.14444,352.14444,395.18664,397.20229	19.63,39.85,18.94,100.0	CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1	C25H24N4O	[M+H]+	20	396.494
13	68.04948,96.04439,195.03197,210.93892,267.96038,277.98112,307.00767,309.02332,319.00767,337.01823,403.97959,419.97451,471.02179,489.03236	24.51,25.65,47.45,100.0,89.5,92.27,80.62,42.69,31.0,50.1,24.2,75.83,22.69,76.77	O=C(N[C@@H](CO)c1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)N2CC=CC2)c(Br)c1	C21H18BrClN4O3	[M+H]+	20	489.757
14	194.94137,206.94137,258.10372,452.03781	10.6,23.19,100.0,99.45	O=C(Cn1cc(I)cn1)N1CCCc2c1cnn2-c1ccc(F)cc1	C17H15FIN5O	[M+H]+	20	451.243
15	91.05423,131.04914,189.0214,191.03705,193.0527,205.0527,207.06835,341.10513	39.72,19.39,13.78,13.73,50.07,100.0,11.78,36.7	Cc1ccc(-c2ccnc(Cl)c2)n1CC(=O)OCc1ccccc1	C19H17ClN2O2	[M+H]+	20	340.81
16	102.09134,125.01525,226.09932,247.00758,249.02323,263.03888,317.04945,331.0651,332.06035,333.08075,334.076,361.07566,363.09131,374.07091,389.07058,398.1073,400.12295,402.1386,406.09713,416.11786,418.13351,420.14916,442.13351,444.14916,446.16481,456.14916,460.14408,462.15973,464.17538,474.15973,492.17029	6.03,38.58,7.75,29.9,27.6,14.41,19.35,6.19,53.24,7.84,18.5,7.1,11.32,14.05,6.41,5.87,50.76,100.0,20.89,8.0,66.48,10.19,47.3,29.21,35.81,13.92,52.64,7.05,28.54,36.28,64.22	CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)OC)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	C26H31Cl2NO4	[M+H]+	20	492.443
