identifier	mzs	intensities	smiles	inchikey	formula	precursor_formula	parent_mass	precursor_mz	adduct	instrument_type	collision_energy	fold	simulation_challenge
MassSpecGymID0000001	91.0542,125.0233,154.0499,155.0577,185.0961,200.107,229.0859,246.1125	0.24524524524524524,1.0,0.08008008008008008,0.35535535535535534,0.34934934934934936,0.04504504504504504,0.14214214214214213,0.7347347347347347	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	30.0	train	True
MassSpecGymID0000002	91.0542,125.0233,155.0577,185.0961,229.0859,246.1125	0.0990990990990991,0.28128128128128127,0.04004004004004004,0.06506506506506507,0.07407407407407407,1.0	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	20.0	train	True
MassSpecGymID0000003	69.0343,91.0542,125.0233,127.039,153.0699,154.0499,155.0577,170.0726,185.0961,200.107,229.0859,246.1125	0.03403403403403404,0.31431431431431434,1.0,0.03803803803803804,0.04104104104104104,0.08608608608608609,0.7087087087087087,0.05905905905905906,0.3123123123123123,0.07207207207207207,0.08008008008008008,0.12612612612612611	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	40.0	train	True
MassSpecGymID0000004	69.0343,91.0542,110.06,111.0441,112.0393,120.0808,125.0233,126.055,127.039,131.0491,140.0342,141.0699,153.0699,154.0499,155.0577,168.0808,169.0648,170.0726,185.0961,200.107	0.17917917917917917,0.47347347347347346,0.03803803803803804,0.05005005005005005,0.037037037037037035,0.07707707707707707,0.8708708708708709,0.03303303303303303,0.0940940940940941,0.04004004004004004,0.18618618618618618,0.035035035035035036,0.11011011011011011,0.04804804804804805,1.0,0.04504504504504504,0.031031031031031032,0.12312312312312312,0.09509509509509509,0.05405405405405406	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	55.0	train	True
MassSpecGymID0000005	91.0542,125.0233,185.0961,229.0859,246.1125,288.123	0.07807807807807808,0.1841841841841842,0.035035035035035036,0.06506506506506507,1.0,0.06306306306306306	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	10.0	train	True
MassSpecGymID0000006	69.0343,91.0542,110.06,111.0441,112.0393,120.0808,125.0233,126.055,127.039,131.0491,140.0342,141.0699,153.0699,154.0499,155.0577,168.0808,169.0648,170.0726,185.0961,200.107	0.18066558,0.47400827,0.03917105,0.05169455,0.03831296,0.07837253,0.87145695,0.03486654,0.09549556000000001,0.04186115,0.18763684000000003,0.03631806,0.11185107999999999,0.04993832,1.0,0.04605732,0.03243932,0.12461511,0.09624268000000001,0.05578042	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	55.0	train	True
MassSpecGymID0000007	69.0343,91.0542,125.0233,127.039,153.0699,154.0499,155.0577,170.0726,185.0961,200.107,229.0859,246.1125	0.03522223,0.31585743,1.0,0.03927062,0.04207912999999999,0.0878418,0.70931231,0.060681979999999996,0.31393472,0.07337139,0.08194442,0.12723594	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	40.0	train	True
MassSpecGymID0000008	91.0542,125.0233,154.0499,155.0577,185.0961,200.107,229.0859,246.1125	0.2467403,1.0,0.08175045,0.35611446999999996,0.35053959,0.046268830000000004,0.14380018,0.73524418	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	30.0	train	True
MassSpecGymID0000009	91.0542,125.0233,155.0577,185.0961,229.0859,246.1125	0.10031625,0.28220217000000003,0.04129964,0.06665896,0.07542308,1.0	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	20.0	train	True
MassSpecGymID0000010	91.0542,125.0233,185.0961,229.0859,246.1125,288.123	0.07992674,0.18591118,0.03666971,0.06668004,1.0,0.06455888	CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC	VFMQMACUYWGDOJ	C16H17NO4	C16H18NO4	287.115224	288.1225	[M+H]+	Orbitrap	10.0	train	True
