spec	formula	ionization	dataset	compound	parentmass	instrument
MassSpecGymID0000001	C16H17NO4	[M+H]+	msg	MassSpecGymID0000001	287.115224	Orbitrap
MassSpecGymID0000002	C16H17NO4	[M+H]+	msg	MassSpecGymID0000002	287.115224	Orbitrap
MassSpecGymID0000003	C16H17NO4	[M+H]+	msg	MassSpecGymID0000003	287.115224	Orbitrap
MassSpecGymID0000004	C16H17NO4	[M+H]+	msg	MassSpecGymID0000004	287.115224	Orbitrap
MassSpecGymID0000005	C16H17NO4	[M+H]+	msg	MassSpecGymID0000005	287.115224	Orbitrap
MassSpecGymID0000006	C16H17NO4	[M+H]+	msg	MassSpecGymID0000006	287.115224	Orbitrap
MassSpecGymID0000007	C16H17NO4	[M+H]+	msg	MassSpecGymID0000007	287.115224	Orbitrap
MassSpecGymID0000008	C16H17NO4	[M+H]+	msg	MassSpecGymID0000008	287.115224	Orbitrap
MassSpecGymID0000009	C16H17NO4	[M+H]+	msg	MassSpecGymID0000009	287.115224	Orbitrap
MassSpecGymID0000010	C16H17NO4	[M+H]+	msg	MassSpecGymID0000010	287.115224	Orbitrap
